id,Weekly_Sales
1,1100515.8
2,1051677.9
3,990703.6
4,964752.6
5,1040066.0
6,1024687.6
7,949073.94
8,995592.7
9,948866.6
10,857916.5
11,1063680.0
12,839736.5
13,1504323.1
14,1395847.1
15,1425762.0
16,1374082.0
17,1333628.5
18,1267913.9
19,1208906.1
20,1052968.4
21,1413140.4
22,1263282.8
23,1213303.2
24,1279798.6
25,1199671.1
26,859105.3
27,1052765.6
28,1083270.9
29,1458998.2
30,1336596.5
31,1359688.2
32,1377440.9
33,1410937.2
34,1382769.9
35,1307558.1
36,1367863.8
37,1297109.2
38,1132511.6
39,1137000.5
40,1259146.4
41,1213122.8
42,1159815.1
43,1097218.9
44,1083948.9
45,1246930.1
46,1162569.2
47,1147559.6
48,1153428.5
49,1325207.6
50,1195756.6
51,1183075.1
52,1150156.4
53,1322133.8
54,1160513.4
55,1183297.4
56,1270085.0
57,1239456.1
58,1152321.4
59,1093679.4
60,1286047.0
61,1289459.9
62,1115820.5
63,1020575.94
64,1124764.0
65,1222743.4
66,1087553.4
67,1044982.44
68,1032111.94
69,1245948.2
70,1138946.4
71,1089020.9
72,1210093.0
73,1254948.1
74,1138239.5
75,1130875.4
76,1190287.5
77,1295540.4
78,1144411.0
79,1163802.8
80,1279799.9
81,1151175.8
82,1018464.1
83,1060097.1
84,969714.3
85,1236766.4
86,1151799.5
87,1136009.9
88,1284381.4
89,1439878.6
90,1244406.9
91,1271986.9
92,1560870.4
93,1287897.9
94,1199459.4
95,1171974.6
96,1209814.9
97,1242231.0
98,1118187.5
99,1131163.4
100,1418761.9
101,1210843.4
102,1098301.4
103,1044926.6
104,1211091.8
105,1278181.2
106,1175450.1
107,1161763.5
108,1257864.5
109,1264374.8
110,1190245.5
111,1165010.9
112,1204069.0
113,1258405.8
114,1170322.8
115,1116364.4
116,1195631.2
117,1051545.5
118,880566.94
119,820827.9
120,909186.5
121,1125350.9
122,1087041.0
123,1045729.1
124,1068403.4
125,1274122.4
126,1135240.9
127,1182505.5
128,1229902.0
129,1241888.8
130,885039.94
131,867439.3
132,974455.3
133,1317579.8
134,1245236.8
135,1247692.6
136,1230691.6
137,1289328.4
138,1212614.9
139,1188519.1
140,1577568.4
141,1223072.4
142,988482.0
143,783932.9
144,1205037.4
145,1176220.5
146,1023035.44
147,1073801.9
148,967494.6
149,1451382.1
150,1345094.9
151,1220359.9
152,1204901.9
153,1343070.9
154,1255849.6
155,1247881.9
156,1241402.0
157,1631856.2
158,1528697.9
159,1479010.5
160,1681089.9
161,1265006.8
162,1171096.4
163,1224987.9
164,1313963.4
165,1444454.5
166,1164284.5
167,981157.2
168,1527792.8
169,1516921.4
170,1371896.6
171,1368486.1
172,1344513.9
173,1252451.8
174,1325491.9
175,1232440.5
176,1036721.8
177,1549323.4
178,1443352.9
179,1446545.8
180,1584341.0
