id,Weekly_Sales
1,1536435.2560800833
2,1390865.8248522652
3,1373532.108186753
4,1446558.3842611953
5,1874602.4443606364
6,1721514.7323827455
7,1714176.815495306
8,1974766.7043850953
9,411267.616645116
10,398508.1616769622
11,393761.3995514678
12,411352.3824324462
13,2009889.9716077005
14,2018123.0671849102
15,2071374.1543087917
16,2057847.7279398208
17,323129.46576336026
18,313251.0804349549
19,310300.3656722422
20,326944.8626408379
21,1556321.695984609
22,1415386.2510937206
23,1414209.3035729425
24,1564075.380619473
25,544943.8207069966
26,523750.8744171016
27,520067.83344983775
28,554143.9495988949
29,871371.5180874236
30,845599.054331632
31,837795.1203166051
32,883487.6376418784
33,541640.9729768652
34,526589.3914270303
35,520281.9083018045
36,548133.0944121885
37,1789046.6255406868
38,1684255.1615823905
39,1718990.4012091656
40,1916792.2305687955
41,1286793.222683239
42,1254201.1975915052
43,1305510.039580498
44,1350594.172879215
45,936324.3122587088
46,868023.8634920431
47,859501.4614370269
48,958828.0411831376
49,2031079.3578028453
50,1844600.0679102917
51,1829912.2872743455
52,2023919.961655769
53,1990850.8587273231
54,1678795.2301887304
55,1831414.2616143413
56,1971044.9877095171
57,578557.3712054375
58,562412.1889762591
59,557701.3061783934
60,590856.1580613721
61,492654.758219512
62,473747.2621566516
63,472184.25712495804
64,487706.49180851894
65,901460.0253549616
66,871741.5151166541
67,862422.5334277701
68,908480.7908337365
69,1049834.3896403566
70,958232.5669793474
71,949964.2536094504
72,1032441.825999902
73,1403736.678016908
74,1280416.3180354624
75,1281889.1401932095
76,1390222.8507979275
77,2079582.576998279
78,1918506.6408766943
79,1897251.3562892382
80,2063360.2359297806
81,713429.2298370923
82,683333.8511493254
83,690895.7912509092
84,1036433.0757929352
85,972795.0776024775
86,920297.3698160159
87,912319.1113239574
88,1066134.4871085056
89,1323392.7350970814
90,1248455.6447399817
91,1242661.7825511452
92,1389143.8505577683
93,1268737.8155262559
94,1281141.2243313768
95,1191857.883868415
96,1333410.6016910889
97,692336.3714286708
98,645312.366341922
99,638554.5274994717
100,673849.5136491043
101,919436.2371394826
102,937117.8500863601
103,878891.127379695
104,945092.0509742409
105,1632819.466552352
106,1506221.6370025543
107,1597015.234553962
108,1768920.5486413082
109,1327574.0559288692
110,1176223.5357154706
111,1110961.7996896773
112,1222881.4538930785
113,510582.62206300284
114,497077.69322164496
115,492054.688811146
116,527518.4661167224
117,419150.41217331926
118,407291.48033778835
119,402959.54822932597
120,424674.53471262904
121,1341768.0458554921
122,1344705.291456789
123,1275197.580166532
124,1422210.7272200412
125,1088823.2693162458
126,1061086.032924946
127,1053702.5874952113
128,1418254.23829485
129,247090.05657333782
130,244994.91629953252
131,238947.76290593384
132,248484.25211192932
133,895004.9007978602
134,899262.6757628529
135,863856.8968948926
136,911099.2529659254
137,844018.4798682035
138,790347.2041430584
139,771049.322484062
140,876326.0416862952
141,326909.19050630974
142,315899.7578046813
143,312768.7188892012
144,327053.886839595
145,517314.27588369825
146,501929.4180492107
147,497063.7287103562
148,522443.0111456917
149,414419.57592717814
150,407369.7058704985
151,401065.42771049374
152,422709.99198689143
153,1547532.113021307
154,1400558.4011235954
155,1390884.6368006836
156,1440319.4472050767
157,919092.9929414903
158,918027.939171002
159,869326.8705510757
160,911812.590850005
161,1224034.1642609097
162,1191186.8810907707
163,1186106.4890155268
164,1573541.6719721917
165,564327.385254013
166,561679.3819615945
167,532099.766781416
168,554849.2776552706
169,634414.1186344124
170,614908.7246083341
171,609259.7798936826
172,643852.8894796347
173,326134.1910582167
174,314904.47941165406
175,312254.81177836424
176,335123.6284932629
177,736764.0331395693
178,716700.6219027535
179,710313.9613563286
180,755312.391860854
