id,Weekly_Sales
1,1694369.9
2,1525474.6
3,1488590.2
4,1447042.1
5,1944215.4
6,1810418.4
7,1755273.2
8,1764904.8
9,427048.78
10,389343.22
11,392456.75
12,394446.2
13,2224282.5
14,2154488.0
15,2178799.5
16,2088709.1
17,338606.34
18,307367.38
19,300544.0
20,309065.75
21,1592909.8
22,1394298.2
23,1422160.4
24,1427983.9
25,536259.94
26,547997.8
27,545019.2
28,606340.06
29,929950.3
30,878833.44
31,903618.6
32,881421.1
33,553779.44
34,510788.1
35,514563.56
36,528889.9
37,1811763.9
38,1725338.2
39,1721966.8
40,1825098.0
41,1405693.6
42,1273097.1
43,1323987.0
44,1291673.8
45,1047733.4
46,978463.06
47,925041.2
48,1022007.4
49,2135024.0
50,2034485.4
51,2017467.4
52,2072195.8
53,1756589.5
54,1646472.1
55,1594268.4
56,1730895.5
57,578891.06
58,568503.1
59,549927.0
60,601107.6
61,544593.7
62,522740.56
63,504272.3
64,531539.5
65,1004926.5
66,997859.56
67,939691.8
68,976055.75
69,1082436.2
70,999072.6
71,960774.94
72,1010801.2
73,1486840.9
74,1384952.6
75,1327328.5
76,1371107.6
77,2155610.0
78,2054202.0
79,1961460.9
80,2026979.0
81,705009.6
82,635221.5
83,684928.94
84,731445.25
85,1031864.6
86,1000132.7
87,964936.44
88,1049461.4
89,1362995.9
90,1344286.8
91,1334960.5
92,1425670.6
93,1287342.5
94,1357320.9
95,1278034.8
96,1293872.0
97,688595.3
98,665933.75
99,682537.2
100,714237.6
101,1105026.1
102,1070193.9
103,967214.9
104,1005561.2
105,1714350.8
106,1657846.5
107,1640330.0
108,1760079.1
109,1516655.0
110,1291958.4
111,1139624.1
112,1210629.5
113,507318.44
114,505909.1
115,513891.72
116,571673.9
117,430238.53
118,404947.53
119,418792.88
120,433774.25
121,1476714.4
122,1353662.6
123,1377050.4
124,1318407.8
125,1216595.9
126,1183471.0
127,1102951.0
128,1213427.9
129,253844.2
130,270455.06
131,245513.88
132,253533.56
133,1016703.44
134,997211.7
135,940289.75
136,963726.1
137,806288.25
138,804197.9
139,797559.94
140,870135.1
141,306197.7
142,302151.66
143,306092.0
144,302938.75
145,529586.9
146,513937.78
147,512183.66
148,521165.6
149,475776.8
150,442380.3
151,423585.66
152,429971.1
153,1635118.1
154,1501953.2
155,1499711.8
156,1570536.8
157,1003087.2
158,964434.1
159,913056.44
160,948301.0
161,1429320.5
162,1336050.8
163,1301808.2
164,1370060.8
165,594595.4
166,613648.94
167,544644.56
168,554070.0
169,643367.3
170,633824.25
171,634348.5
172,614697.4
173,351013.66
174,345235.03
175,341214.88
176,352369.7
177,761592.4
178,715270.4
179,739161.6
180,789814.44
